948239823818706946,b USER_MENTION nxc has potential to to now and hold till january big news for it,1
948239777756864512,bportfolio today up biln boo sqz rfx sfr opm gfrd URL,1
948239665668218880,b USER_MENTION crypto trading stellar lumens xlm is now available for trading on okex URL howtobuy lend,1
948239627516825608,b USER_MENTION facts multibillion max supply cryptocurrencies have been leading the top on USER_MENTION false,0
948239494498734081,b USER_MENTION which coin below would you prefer to during a business transaction bitcoin ripple litecoin,0
948239474793869312,b USER_MENTION buy it now to this exchange URL,1
948239436889935873,bUSER_MENTION i rode it from to or so last week ima move some profits back in there but probably after URL,1
948239362168324102,b USER_MENTION URL,0
948239361279188994,b USER_MENTION which of the top coins listed on URL should be listed on USER_MENTION next and which are,0
948239290491920385,bpayment infrastructure optimization is integral was big but will be huge USER_MENTION vault URL,1
948239283470700544,brumors are that bank of america is the market maker for USER_MENTION USER_MENTION,0
948239232274915328,bUSER_MENTION hey mate so tron will be burning of its coin you got a stake in tron i am waiting for ada to dip URL,1
948239186649387008,going to fork buy some URL URL,1
948239173793800193,b USER_MENTION this is just the beginning URL stellar lumens hodl,1
948240323590967296,b USER_MENTION john mcafee moved to binance follow him every URL,1
948240212257394688,b USER_MENTION facts multibillion max supply cryptocurrencies have been leading the top on USER_MENTION false,0
948240196474195968,b USER_MENTION for the people who say im an amateur with this cryptocurrency thing and the way i present my videos URL,0
948240152383680512,bjohn mcafee moved to binance follow him every URL URL,1
948240142006972423,b USER_MENTION for the people who say im an amateur with this cryptocurrency thing and the way i present my videos URL,0
948240112252608512,bUSER_MENTION please add support for stellar lumen xlm,1
948240085329342464,btrading signals join URL URL,1
948240055327367168,bmy december URL,0
948239985894969344,b USER_MENTION stellar is now available for trading happy USER_MENTION is an open source crossborder,1
948239977229504512,b USER_MENTION USER_MENTION i rode it from to or so last week ima move some profits back in there but probably after i,1
948239927074000896,b USER_MENTION rumors are that bank of america is the market maker for USER_MENTION USER_MENTION,0
948240379073257472,b xlm on cnbc URL,1
948240471255531520,bbest cryptocurrencies to invest in stellar lumens status voxels salt waves waves,1
948240459054403584,b USER_MENTION if you think xlm stellar is heading to,1
948240430600151040,bUSER_MENTION USER_MENTION thoughts on and good long term,1
948240530952962049,b USER_MENTION to celebrate this new USER_MENTION page heres an giveaway i will send xlm to lucky retweet,1
948240513412554753,b USER_MENTION my december,0
948240629166944257,breally like xlm and ada as my top coins i also hold a lot of ripple but i hold that more of the belief URL,1
948244841221279745,bcurrent price your trading to the crypto exchange today sign up URL,1
948244824045400064,b USER_MENTION if does not reach its current price in weeks i will give to one,0
948244822275514368,b USER_MENTION deserves to be valued way higher then it is now it has flirted with the cent,1
948244821570965504,b USER_MENTION USER_MENTION stella xlm is taking off and still a great buy at under great technology as they signed,1
948244802713239552,b USER_MENTION update high volume bump looks like this chart came right off URL as a rounding bottom,1
948244791069884416,bUSER_MENTION ya i was looking in xlm after ibm news was announced i still have verge though i will hold and see URL,1
948244760757768192,USER_MENTION raiblocks EMO_POS but if i had to chose between stellar and ripple id pick xlm xrp xrb,1
948244708530237440,b USER_MENTION new year giveaway time for sharing will randomly select a winner sydney to receive the equal of,1
948244694194106368,manage account you know isnt going to expire on friday right EMO_POS just getting started blue sky soon xlm,1
948244670722830337,brumors about mooncoin some forums and telegram groups they speak about to be listed on URL,0
948244592016678913,bUSER_MENTION USER_MENTION USER_MENTION USER_MENTION how about xlm,1
948244551248089089,b USER_MENTION invested for my dad on into xrp xlm and days later and its doubled in value in the,1
948244540602937344,b USER_MENTION top mentions on twitter in the last hour URL,1
948244511213457409,bbought at sat URL,1
948244452086308866,b USER_MENTION my december,0
948245035467919360,bregister with binance and you can trade for as low as fee cheaper than bithumb bitfinex hitbtc URL,1
